pulse width,1,2,total,double,g2,g2 err,p1,p2,p1 err,p2 err
700,2301,2209,176998,0,0,0.034822185,0.025480514,0.00E+00,0,5.65E-06
1100,2897,2587,229670,0,0,0.03064498,0.023877738,0.00E+00,0,4.35E-06
1460,2118,1969,236498,0,0,0.056709498,0.01728133,0.00E+00,0,4.23E-06
1900,2766,2435,360996,0,0,0.053598329,0.014407362,0.00E+00,0,2.77E-06
2260,2548,2397,350497,0,0,0.057387439,0.014108537,0.00E+00,0,2.85E-06
2700,2591,2579,337498,0,0,0.050507102,0.015318609,0.00E+00,0,2.96E-06
3060,2657,2523,441497,0,0,0.065859579,0.011732809,0.00E+00,0,2.27E-06
3540,2179,2115,437999,1,0.095039801,0.095039801,0.009803675,2.28E-06,0,2.28E-06
4020,2509,2444,573998,0,0,0.093607041,0.00862895,0.00E+00,0,1.74E-06
4460,2188,2070,449499,1,0.099245555,0.099245555,0.009472769,2.22E-06,0,2.22E-06
4820,2082,1841,354999,1,0.092617407,0.092617407,0.011050735,2.82E-06,0,2.82E-06
1900,1038,1124,99999,1,0.085710098,0.085710098,0.021620216,1.00E-05,0,1.00E-05
3200,1578,1667,214999,0,0,0.081732323,0.015093093,0.00E+00,0,4.65E-06
4800,1583,1654,256499,0,0,0.09796462,0.012619932,0.00E+00,0,3.90E-06
6000,1850,1922,305499,1,0.085918103,0.085918103,0.012347013,3.27E-06,0,3.27E-06
7200,1599,1673,365999,0,0,0.136815561,0.008939915,0.00E+00,0,2.73E-06
8500,2281,2413,554999,1,0.100834603,0.100834603,0.008457673,1.80E-06,0,1.80E-06
9800,2284,2371,581499,1,0.107379485,0.107379485,0.008005173,1.72E-06,0,1.72E-06
11400,1168,1184,212999,0,0,0.154022093,0.003836874,0.00E+00,0,4.69E-06
13200,2544,2417,849999,0,0,0.138237114,0.005836477,0.00E+00,0,1.18E-06
