rf,freq,,total,eff,norm eff,od
78.251,2504.032,5013,25500,0.190737255,0.526738721,0.641050639
78.241,2503.712,3353,25500,0.125639216,0.346964413,1.058533059
78.231,2503.392,1419,25500,0.049796078,0.137516515,1.984011257
78.221,2503.072,715,25500,0.022188235,0.061274881,2.792385285
78.261,2504.352,2176,25500,0.079482353,0.219497932,1.51641247
78.271,2504.672,764,25500,0.024109804,0.066581472,2.709328932
78.281,2504.992,435,25500,0.011207843,0.030951504,3.475333678
78.311,2505.952,723,25500,0.022501961,0.062141264,2.77834504
78.341,2506.912,1302,25500,0.045207843,0.124845676,2.080676899
78.191,2502.112,519,25500,0.014501961,0.040048517,3.217663625
78.161,2501.152,961,25500,0.031835294,0.087916134,2.431371939
78.131,2500.192,1642,25500,0.058541176,0.161666919,1.822217114
78.256,2504.192,3594,25500,0.135090196,0.373064177,0.986004817
78.266,2504.512,1118,25500,0.037992157,0.104918885,2.254567752
