rf,freq,counts,total,eff,eff err
59.95,-1918.4,5,34000,0.000147059,6.57667E-05
60,-1920,27,34000,0.000794118,0.000152828
60.05,-1921.6,61,32000,0.00190625,0.00024407
60.1,-1923.2,91,32571,0.002793896,0.00029288
60.15,-1924.8,130,32000,0.0040625,0.000356305
60.2,-1926.4,132,32000,0.004125,0.000359035
60.25,-1928,163,34000,0.004794118,0.000375504
60.3,-1929.6,131,34000,0.003852941,0.000336633
60.35,-1931.2,68,34000,0.002,0.000242536
60.4,-1932.8,33,32000,0.00103125,0.000179518
60.45,-1934.4,14,32340,0.0004329,0.000115698
60.5,-1936,5,32000,0.00015625,6.98771E-05
60.6,-1939.2,8,34000,0.000235294,8.3189E-05
60.7,-1942.4,10,34000,0.000294118,9.30082E-05
60.8,-1945.6,4,34000,0.000117647,5.88235E-05
59.6,-1907.2,5,32307,0.000154765,6.92131E-05
59.8,-1913.6,13,32000,0.00040625,0.000112673
