time,g2,g2 err,total,p12 total,time (min),time (h)
0.1,0.894562167,0.045086731,797999,396,24,0.4
0.5,0.851106095,0.048238695,797999,312,24,0.4
1,0.810455317,0.05233634,797999,241,24,0.4
3,0.783018972,0.051127661,1599999,239,48,0.8
5,0.753108976,0.045204604,3619861,281,109,1.8
8,0.684633449,0.057430943,4629998,147,139,2.3
10,0.63364564,0.054897362,4638910,136,139,2.3
15,0.674271821,0.050314592,7653889,186,230,3.8
20,0.633473282,0.052756226,7653999,149,230,3.8
25,0.590067802,0.061013173,13722531,99,412,6.9
