pulse width,counts,total,eff,eff err
80,1,9000,0.000111111,0.000111111
160,38,9000,0.004222222,0.000684935
240,82,9000,0.009111111,0.001006154
320,118,9000,0.013111111,0.001206976
400,90,9000,0.01,0.001054093
480,73,10000,0.0073,0.0008544
560,16,9000,0.001777778,0.000444444
640,11,9000,0.001222222,0.000368514
720,46,9000,0.005111111,0.000753592
800,91,9000,0.010111111,0.001059932
840,97,9000,0.010777778,0.001094318
880,95,9000,0.010555556,0.001082977
960,68,10000,0.0068,0.000824621
1040,30,9000,0.003333333,0.000608581
1120,16,9000,0.001777778,0.000444444
1200,28,9000,0.003111111,0.000587945
1280,59,9000,0.006555556,0.000853461
1360,70,9000,0.007777778,0.000929622
1440,97,9000,0.010777778,0.001094318
1520,70,9000,0.007777778,0.000929622
1600,39,9000,0.004333333,0.000693889
1680,28,9000,0.003111111,0.000587945
1760,28,9000,0.003111111,0.000587945
1840,39,9000,0.004333333,0.000693889
1920,52,9000,0.005777778,0.000801234
2000,71,9000,0.007888889,0.000936239
2080,82,9000,0.009111111,0.001006154
2160,59,10000,0.0059,0.000768115
2240,49,9000,0.005444444,0.000777778
2320,30,9000,0.003333333,0.000608581
2400,39,9000,0.004333333,0.000693889
2480,41,9000,0.004555556,0.000711458
2560,62,9000,0.006888889,0.00087489
2640,73,9000,0.008111111,0.000949334
2720,66,9000,0.007333333,0.000902671
2800,59,9000,0.006555556,0.000853461
2880,38,9000,0.004222222,0.000684935
2960,30,9000,0.003333333,0.000608581
3040,29,9301,0.003117944,0.000578988
3120,33,9000,0.003666667,0.000638285
3200,60,9000,0.006666667,0.000860663
3280,54,9000,0.006,0.000816497
3360,65,9000,0.007222222,0.000895806
3440,51,9000,0.005666667,0.000793492
3520,35,9000,0.003888889,0.000657342
3600,39,9000,0.004333333,0.000693889
3680,52,9000,0.005777778,0.000801234
3760,61,9000,0.006777778,0.000867806
3840,47,9000,0.005222222,0.000761739
3920,54,9000,0.006,0.000816497
4000,33,9000,0.003666667,0.000638285
4080,46,9000,0.005111111,0.000753592
4160,44,10000,0.0044,0.000663325
4240,46,9000,0.005111111,0.000753592
4320,38,9000,0.004222222,0.000684935
4400,36,10000,0.0036,0.0006
4480,38,9000,0.004222222,0.000684935
4560,43,9000,0.004777778,0.000728604
4640,46,9000,0.005111111,0.000753592
4720,46,9000,0.005111111,0.000753592
4800,28,9000,0.003111111,0.000587945
4880,40,10000,0.004,0.000632456
4960,42,9000,0.004666667,0.000720082
5040,34,9000,0.003777778,0.000647884
5120,50,10000,0.005,0.000707107
5200,47,9000,0.005222222,0.000761739
5280,31,9000,0.003444444,0.00061864
