pulse width,counts,total,eff
100,107,40000,0.002675
200,167,40000,0.004175
300,183,40000,0.004575
400,93,40000,0.002325
500,10,40000,0.00025
600,32,38000,0.000842
700,138,40000,0.00345
800,181,40000,0.004525
900,85,40000,0.002125
1000,43,40000,0.001075
1100,41,40000,0.001025
1200,105,40000,0.002625
1300,90,38000,0.002368
1400,115,40000,0.002875
1500,60,40000,0.0015
1600,30,40000,0.00075
1700,32,40000,0.0008
1800,86,40000,0.00215
1900,112,40000,0.0028
2000,70,38677,0.00181
2100,35,40000,0.000875
2200,36,40000,0.0009
2300,48,40000,0.0012
2400,52,40000,0.0013
2500,69,40000,0.001725
2600,65,38000,0.001711
2700,44,40000,0.0011
2800,44,40000,0.0011
2900,,40000,0
3000,,40000,0
