pulse width,counts,total,eff
100,209,40000,0.005225
200,467,40000,0.011675
300,431,40000,0.010775
400,236,40000,0.0059
500,62,40000,0.00155
600,67,38905,0.001722144
700,158,40000,0.00395
800,333,38000,0.008763158
900,337,40000,0.008425
1000,144,40000,0.0036
1100,35,40000,0.000875
1200,102,40000,0.00255
1300,291,40000,0.007275
1400,387,40000,0.009675
1500,234,39651,0.005901491
1600,75,38000,0.001973684
1700,99,38000,0.002605263
1800,200,39796,0.005025631
1900,318,40000,0.00795
2000,268,40000,0.0067
2110,176,40000,0.0044
2200,112,40000,0.0028
2300,120,40000,0.003
2400,197,40000,0.004925
2500,227,38000,0.005973684
2600,214,40000,0.00535
2700,171,38000,0.0045
2800,123,40000,0.003075
2900,145,40000,0.003625
3000,169,40000,0.004225
3100,199,38000,0.005236842
