pulse width,counts,total,eff,eff err
100,11,9000,0.001222222,0.000368514
140,65,9000,0.007222222,0.000895806
180,150,9000,0.016666667,0.001360828
220,163,9000,0.018111111,0.001418572
260,143,9000,0.015888889,0.001328696
300,141,9000,0.015666667,0.001319371
340,95,9000,0.010555556,0.001082977
380,54,9000,0.006,0.000816497
420,13,9000,0.001444444,0.000400617
460,27,9000,0.003,0.00057735
500,71,9000,0.007888889,0.000936239
540,103,9000,0.011444444,0.001127655
580,150,9000,0.016666667,0.001360828
620,134,9000,0.014888889,0.001286204
660,101,9000,0.011222222,0.001116653
700,68,9000,0.007555556,0.000916246
740,25,9000,0.002777778,0.000555556
780,33,9000,0.003666667,0.000638285
820,64,9000,0.007111111,0.000888889
860,92,9000,0.010222222,0.00106574
900,104,9000,0.011555556,0.001133115
940,146,9000,0.016222222,0.001342561
980,106,9000,0.011777778,0.001143959
1020,84,9000,0.009333333,0.00101835
1060,37,9000,0.004111111,0.000675863
1100,29,9000,0.003222222,0.000598352
1140,53,9000,0.005888889,0.000808901
1180,73,9523,0.007665652,0.000897197
1220,96,9000,0.010666667,0.001088662
1260,129,9000,0.014333333,0.00126198
1300,124,9000,0.013777778,0.001237281
1340,106,9000,0.011777778,0.001143959
1380,66,9000,0.007333333,0.000902671
1420,52,9000,0.005777778,0.000801234
1460,42,9000,0.004666667,0.000720082
1500,47,9000,0.005222222,0.000761739
1540,95,9000,0.010555556,0.001082977
1580,100,9000,0.011111111,0.001111111
1620,109,9000,0.012111111,0.001160034
1660,105,9000,0.011666667,0.00113855
1700,93,9000,0.010333333,0.001071517
1740,61,9000,0.006777778,0.000867806
1780,50,9000,0.005555556,0.000785674
1820,39,9000,0.004333333,0.000693889
1860,61,9000,0.006777778,0.000867806
1900,105,9000,0.011666667,0.00113855
1940,90,9000,0.01,0.001054093
1980,124,10000,0.0124,0.001113553
2020,85,9000,0.009444444,0.001024394
2060,63,9000,0.007,0.000881917
2100,51,9000,0.005666667,0.000793492
2140,55,9000,0.006111111,0.000824022
2180,62,9000,0.006888889,0.00087489
2220,70,9000,0.007777778,0.000929622
2260,94,9000,0.010444444,0.001077262
2300,109,9000,0.012111111,0.001160034
2340,101,9000,0.011222222,0.001116653
2380,83,9000,0.009222222,0.00101227
2420,55,9000,0.006111111,0.000824022
2460,61,9000,0.006777778,0.000867806
2500,44,9000,0.004888889,0.000737028
2540,67,9000,0.007444444,0.000909484
2580,93,9974,0.009324243,0.000966879
2620,102,9000,0.011333333,0.001122167
2660,108,9000,0.012,0.001154701
2700,66,9000,0.007333333,0.000902671
2740,53,9000,0.005888889,0.000808901
2780,56,9000,0.006222222,0.000831479
2820,66,9000,0.007333333,0.000902671
2860,59,9000,0.006555556,0.000853461
2900,84,9000,0.009333333,0.00101835
2940,97,9000,0.010777778,0.001094318
2980,83,9000,0.009222222,0.00101227
3020,88,9000,0.009777778,0.001042315
3060,76,9000,0.008444444,0.000968644
3100,60,9000,0.006666667,0.000860663
3140,59,9000,0.006555556,0.000853461
3180,61,9000,0.006777778,0.000867806
3220,75,9000,0.008333333,0.00096225
3260,72,9000,0.008,0.000942809
3300,86,9000,0.009555556,0.001030402
3340,87,9000,0.009666667,0.001036375
3380,84,10000,0.0084,0.000916515
3420,62,10000,0.0062,0.000787401
3460,66,9000,0.007333333,0.000902671
3500,78,10000,0.0078,0.000883176
3540,77,9000,0.008555556,0.000974996
3580,70,9000,0.007777778,0.000929622
3620,81,9000,0.009,0.001
3660,88,9000,0.009777778,0.001042315
3700,74,9000,0.008222222,0.000955814
3740,66,9000,0.007333333,0.000902671
3780,47,9000,0.005222222,0.000761739
3820,63,10000,0.0063,0.000793725
3860,45,9000,0.005,0.000745356
3900,58,9000,0.006444444,0.000846197
3940,83,9000,0.009222222,0.00101227
3980,82,9000,0.009111111,0.001006154
4020,68,9000,0.007555556,0.000916246
4060,74,9584,0.007721202,0.000897572
4100,76,9000,0.008444444,0.000968644
4140,63,9000,0.007,0.000881917
4180,52,9000,0.005777778,0.000801234
4220,61,9000,0.006777778,0.000867806
4260,62,10000,0.0062,0.000787401
4300,65,9000,0.007222222,0.000895806
4340,86,9000,0.009555556,0.001030402
4380,68,9000,0.007555556,0.000916246
4420,69,9000,0.007666667,0.000922958
4460,51,9000,0.005666667,0.000793492
4500,56,9539,0.005870636,0.000784497
4540,59,9000,0.006555556,0.000853461
4580,52,9000,0.005777778,0.000801234
4620,52,9268,0.005610703,0.000778065
4660,73,9000,0.008111111,0.000949334
4700,64,9000,0.007111111,0.000888889
4740,47,9000,0.005222222,0.000761739
4780,67,9000,0.007444444,0.000909484
4820,63,10000,0.0063,0.000793725
4860,59,9000,0.006555556,0.000853461
4900,58,9000,0.006444444,0.000846197
4940,53,9000,0.005888889,0.000808901
4980,70,9000,0.007777778,0.000929622
5020,62,9000,0.006888889,0.00087489
5060,53,10000,0.0053,0.000728011
5100,51,9000,0.005666667,0.000793492
