phase,A1,A3,double,total,eff,g2,g2 err
0,624,744,3,81999,0.01668313,0.529873604,0.305922668
45,985,1047,7,199999,0.010160051,1.357509733,0.513090451
90,909,1045,7,403999,0.004836646,2.97713245,1.125250298
135,1134,1153,14,809998,0.002823464,8.673005472,2.317958213
180,532,594,3,201999,0.005574285,1.917663477,1.107163525
225,996,1024,3,159998,0.012625158,0.470626647,0.271716421
270,760,767,6,79999,0.019087739,0.823430316,0.336164019
315,794,863,12,79999,0.020712759,1.400988293,0.404430484
157,725,739,4,402142,0.003640505,3.002320004,1.501160002
113,998,1107,11,811998,0.002592371,8.084803754,2.43766005
